Company Name,Symbol,Sector,Dividend
Armor Minerals Inc.,A.V,Basic Materials,0
First Tidal Acquisition Corp.,AAA.P.V,sector not available!,0
Anacott Acquisition Corporation,AAC.P.V,sector not available!,0
AADirection Capital Corp.,AAD.P.V,sector not available!,0
Aftermath Silver Ltd.,AAG.V,Basic Materials,0
AAJ Capital 2 Corp.,AAJC.P.V,sector not available!,0
Aton Resources Inc.,AAN.V,Basic Materials,0
ATI Airtest Technologies Inc.,AAT.V,Industrials,0
Angold Resources Ltd.,AAU.V,Basic Materials,0
Advance Gold Corp.,AAX.V,Basic Materials,0
Azincourt Energy Corp.,AAZ.V,Energy,0
Abcourt Mines Inc.,ABI.V,Basic Materials,0
Aben Resources Ltd.,ABN.V,Basic Materials,0
Arbor Metals Corp.,ABR.V,Basic Materials,0
AbraSilver Resource Corp.,ABRA.V,Basic Materials,0
ASIABASEMETALS INC.,ABZ.V,Basic Materials,0
Aardvark Capital Corp.,ACCA.P.V,sector not available!,0
Alpha Cognition Inc.,ACOG.V,Healthcare,0
Atacama Copper Corporation,ACOP.V,sector not available!,0
Arcpacific Resources Corp.,ACP.V,Basic Materials,0
Archon Minerals Ltd.,ACS.V,Basic Materials,0
Acasti Pharma Inc.,ACST.V,Healthcare,0
Aurora Solar Technologies Inc.,ACU.V,Technology,0
Arctic Star Exploration Corp.,ADD.V,Basic Materials,0
Adex Mining Inc,ADE.V,Basic Materials,0
Arcus Development Group Inc,ADG.V,Basic Materials,0
Diagnos Inc.,ADK.V,Healthcare,0
Adyton Resources Corporation,ADY.V,Basic Materials,0
ADYA Inc.,ADYA.V,Communication Services,0
Adamera Minerals Corp.,ADZ.V,Basic Materials,0
Adventus Mining Corporation,ADZN.V,Basic Materials,0
American Eagle Gold Corp.,AE.V,Basic Materials,0
Anfield Energy Inc.,AEC.V,Energy,0
Atlas Engineered Products Ltd.,AEP.V,Industrials,0
AEX Gold Inc.,AEX.V,Basic Materials,0
AF2 Capital Corp.,AF.P.V,sector not available!,0
Africa Energy Corp.,AFE.V,Energy,0
Affinity Metals Corp.,AFF.V,Basic Materials,0
Alphamin Resources Corp.,AFM.V,Basic Materials,0
African Metals Corporation,AFR.V,sector not available!,0
Amarillo Gold Corporation,AGC.V,Basic Materials,0
Antioquia Gold Inc,AGD.V,Basic Materials,0
"African Gold Group, Inc.",AGG.V,Basic Materials,0
Aguila American Gold Limited,AGL.V,Basic Materials,0
Austral Gold Limited,AGLD.V,Basic Materials,0.032
AurCrest Gold Inc.,AGO.V,Basic Materials,0
Silver X Mining Corp.,AGX.V,Basic Materials,0
Allied Hotel Properties Inc.,AHP.V,Consumer Cyclical,0
Amarc Resources Ltd.,AHR.V,Basic Materials,0
AIM5 Ventures Inc.,AIME.P.V,sector not available!,0
AIM6 Ventures Inc.,AIMF.P.V,sector not available!,0
Clean Air Metals Inc.,AIR.V,Basic Materials,0
A.I.S. Resources Limited,AIS.V,Basic Materials,0
Apolo IV Acquisition Corp.,AIV.P.V,sector not available!,0
K.B. Recycling Industries Ltd.,AKMY.V,Industrials,0
Ackroo Inc.,AKR.V,Technology,0
ALX Resources Corp.,AL.V,Energy,0
A-Labs Capital II Corp.,ALAB.P.V,sector not available!,0
A-Labs Capital V Corp.,ALBA.P.V,sector not available!,0
A-Labs Capital IV Corp.,ALCC.P.V,sector not available!,0
Aldebaran Resources Inc.,ALDE.V,Basic Materials,0
Alpha Lithium Corporation.,ALLI.V,Basic Materials,0
Alliance Mining Corp.,ALM.V,Basic Materials,0
"Alpine Summit Energy Partners, Inc.",ALPS.U.V,sector not available!,0
Alturas Minerals Corp,ALT.V,Basic Materials,0
Altamira Gold Corp.,ALTA.V,Basic Materials,0
Altina Capital Corp.,ALTN.P.V,sector not available!,0
Altus Strategies PLC,ALTS.V,Basic Materials,0
Alvopetro Energy Ltd.,ALV.V,Energy,0
AnalytixInsight Inc.,ALY.V,Technology,0
Academy Metals Inc.,AM.V,Basic Materials,0
Arizona Metals Corp.,AMC.V,Basic Materials,0
Abacus Mining & Exploration Corporation,AME.V,Basic Materials,0
Athabasca Minerals Inc,AMI.V,Basic Materials,0
American Creek Resources Ltd.,AMK.V,Basic Materials,0
Bullet Exploration Inc.,AMMO.V,Basic Materials,0
Altan Rio Minerals Limited,AMO.V,Basic Materials,0
AM Resources Corp.,AMR.V,Basic Materials,0
Aumento Capital VIII Corp.,AMU.P.V,sector not available!,0
AMV Capital Corporation,AMV.V,Basic Materials,0
Amex Exploration Inc.,AMX.V,Basic Materials,0
