Company Name,Symbol,Sector,Dividend
Aberdeen Int'l. J,AAB.TO,Financial Services,0.12
Advantage Energy Ltd,AAV.TO,Energy,0
ABC Tech Holdings,ABCT.TO,Consumer Cyclical,0
Absolute Software J,ABST.TO,Technology,0.32
AccelerateCarbnNegCA,ABTC.TO,sector not available!,0
Barrick Gold Corp,ABX.TO,Basic Materials,1.16
Air Canada Vote & VV,AC.TO,Industrials,0
Aurora Cannabis J,ACB.TO,Healthcare,0
Accord Financial,ACD.TO,Financial Services,0.2
ATCO Ltd. Cl I NV,ACO.X.TO,sector not available!,0
ATCO Ltd. Cl II,ACO.Y.TO,sector not available!,0
AutoCanada Inc.,ACQ.TO,Consumer Cyclical,0.4
Middlefld AmerCoreUn,ACZ.TO,sector not available!,0.552
Alaris EqPart Tr Deb,AD.DB.TO,sector not available!,0
Alaris Eq Part Tr Un,AD.UN.TO,sector not available!,0
Adcore Inc. J,ADCO.TO,Technology,0
Acadian Timber Corp.,ADN.TO,Basic Materials,1.16
Andrew Peller A NV,ADW.A.TO,sector not available!,0
Andrew Peller Ltd. B,ADW.B.TO,sector not available!,0
Aegis Brands Inc.,AEG.TO,Consumer Cyclical,0.34
Agnico Eagle Mines,AEM.TO,Basic Materials,1.4
AEterna Zentaris Inc,AEZS.TO,Healthcare,0.33
Ag Growth Int'l Inc.,AFN.TO,Industrials,0.6
AGF Management B NV,AGF.B.TO,sector not available!,0
Alamos Gold Inc. J,AGI.TO,Basic Materials,0.1
Sustain Agri&Wel Div,AGR.UN.TO,sector not available!,0
Aleafia Health J,AH.TO,Healthcare,0
Apollo Hlthcare Cl B,AHC.TO,Consumer Defensive,0
Atrium Mtg Invest,AI.TO,Financial Services,0.9
Altus Group Limited,AIF.TO,Real Estate,0.6
Almonty Industries J,AII.TO,Basic Materials,0
Aimia Inc.,AIM.TO,Industrials,0.8
AgJunction Inc.,AJX.TO,Technology,0
Akita Drill Cl A NV,AKT.A.TO,sector not available!,0
Akita Drilling Cl B,AKT.B.TO,sector not available!,0
Akumin Inc. J,AKU.TO,Healthcare,0
AltaGas Ltd.,ALA.TO,Utilities,0.9996
Algoma Central Corp,ALC.TO,Industrials,0.68
Altius Minerals Corp,ALS.TO,Basic Materials,0.28
Alithya Group J A SV,ALYA.TO,Technology,0
Almaden Minerals,AMM.TO,Basic Materials,0
AndlauerHlthcr GrpSV,AND.TO,Healthcare,0.2
Anaergia Inc. J SV,ANRG.TO,sector not available!,0
Anaconda Mining J,ANX.TO,Basic Materials,0
Africa Oil Corp. J,AOI.TO,Energy,0
Ascot Resources J,AOT.TO,Basic Materials,0
Allied Prop. REIT Un,AP.UN.TO,sector not available!,0
Appili Therapeutcs J,APLI.TO,Healthcare,0
Automotive Ppty Un,APR.UN.TO,sector not available!,0
Aptose Biosciences,APS.TO,Healthcare,0
Anglo Pacific Ord,APY.TO,Basic Materials,0.15
Aquila Resources J,AQA.TO,Basic Materials,0
Algonquin Pwr & Util,AQN.TO,Utilities,0.6824
Argonaut Gold Inc. J,AR.TO,Basic Materials,0
Accelerate ArbitrgUn,ARB.TO,sector not available!,0
Aecon Group Inc.,ARE.TO,Industrials,0.7
Amerigo Resources J,ARG.TO,Basic Materials,0.08
Aris Gold Corp J,ARIS.TO,Basic Materials,0
Altius RenewRoylty J,ARR.TO,Utilities,0
ARC Resources Ltd.,ARX.TO,Energy,0.24
Avino Silver & Gld J,ASM.TO,Basic Materials,0
Ascendant Res J,ASND.TO,Basic Materials,0
Acerus Pharma Corp J,ASP.TO,Healthcare,0
AcuityAds Hldgs J,AT.TO,Communication Services,0
ATS Automation Tool,ATA.TO,Industrials,0
Alimentation Cl A MV,ATD.A.TO,sector not available!,0
Alimentation Cl B SV,ATD.B.TO,sector not available!,0
Antibe Therapeutic J,ATE.TO,Healthcare,0
Athabasca Oil Corp J,ATH.TO,Energy,0
AccelerateCA Benchmk,ATSX.TO,sector not available!,0.4
Aritzia Inc. SV,ATZ.TO,Consumer Cyclical,0
1stTr CboeVestUSEqHg,AUGB.F.TO,sector not available!,0
Golden Minerals J,AUMN.TO,Basic Materials,0
Avicanna Inc. J,AVCN.TO,Healthcare,0
Avalon Advncd Mtrl J,AVL.TO,Basic Materials,0
Avant Brands Inc. J,AVNT.TO,Healthcare,0
Avcorp Industries,AVP.TO,Industrials,0
A&W Revenue Rylty Un,AW.UN.TO,sector not available!,0
Artis REIT Un,AX.UN.TO,sector not available!,0
Alexco Resource J,AXU.TO,Basic Materials,0
Aya Gold & Silvr J,AYA.TO,Basic Materials,0
Atalaya Mining Ord J,AYM.TO,Basic Materials,0
Azarga Uranium A J,AZZ.TO,Energy,0
Brookfld Asset A LV,BAM.A.TO,sector not available!,0
Brookfld MgtReinsrLV,BAMR.TO,sector not available!,0
Evolve GlbMatMin Heg,BASE.TO,sector not available!,1.2
BlackBerry Limited,BB.TO,Technology,6.24
Bombardier Cl A MV,BBD.A.TO,sector not available!,0
Bombardier Cl B SV,BBD.B.TO,sector not available!,0
HoriznGlbBBIG TechCA,BBIG.TO,sector not available!,0
BBTV Hldgs Inc J SV,BBTV.TO,Communication Services,0
Brookfield Bus LP Un,BBU.UN.TO,sector not available!,0
BCE Inc.,BCE.TO,Communication Services,3.5
Black DiamndGlbEq Un,BDEQ.TO,sector not available!,0
Badger Infras Solutn,BDGI.TO,Industrials,0.636
Black Diamond Group,BDI.TO,Industrials,0.3
BromptonGlblDivGroCA,BDIV.TO,sector not available!,1.2
BlackDiamnDstressOpp,BDOP.TO,sector not available!,0
Bird Construction,BDT.TO,Industrials,0.396
Boardwalk REIT Un,BEI.UN.TO,sector not available!,0
Becker Milk Cl B NV,BEK.B.TO,sector not available!,0
Brookfld Renew LP Un,BEP.UN.TO,sector not available!,0
Brookfld RenewA ExSV,BEPC.TO,Utilities,1.215
InvescoESG CA CorBnd,BESG.TO,sector not available!,0.492
BromptonNA FinDivCAD,BFIN.TO,sector not available!,0.996
BristolGate CdnEtyUn,BGC.TO,sector not available!,0
Brkfld GlbInfras Sec,BGI.UN.TO,sector not available!,0
Bristol GateUS Eq Un,BGU.TO,sector not available!,0
Bausch Health Co,BHC.TO,Healthcare,0.388
Brookfield Infras Un,BIP.UN.TO,sector not available!,0
Brookfld Infras A SV,BIPC.TO,Utilities,2.04
Birchcliff Energy,BIR.TO,Energy,0.02
Ninepoint Bitcoin Un,BITC.TO,sector not available!,0
BetaPro InversBitcn,BITI.TO,sector not available!,0
Cdn Banc Corp Cl 'A',BK.TO,Financial Services,1.22004
Black Iron Inc. J,BKI.TO,Basic Materials,0
Invesco SeniorLoanCA,BKL.C.TO,sector not available!,0
Invesco SnrLoanCAheg,BKL.F.TO,sector not available!,0
Invesco SeniorLoanUS,BKL.U.TO,sector not available!,0
Glbl Innovation Div,BL.UN.TO,sector not available!,0
Bloom Select Incm Un,BLB.UN.TO,sector not available!,0
1st TrIdx InnovTrans,BLCK.TO,sector not available!,0.2
Ballard Power Sys,BLDP.TO,Industrials,0
Blackline Safety J,BLN.TO,Technology,0
BromptonNA LwVolDvCA,BLOV.TO,sector not available!,0.804
BELLUS Health Inc.,BLU.TO,Healthcare,0
Boralex Inc. Cl A,BLX.TO,Utilities,0.66
Bank of Montreal,BMO.TO,Financial Services,4.24
Purpose Cdn Fin Incm,BNC.TO,sector not available!,1.02
Purpose Gbl Bnd Fund,BND.TO,sector not available!,0.708
Bonterra Energy Corp,BNE.TO,Energy,0.12
Bengal Energy Ltd. J,BNG.TO,Energy,0
Big BancSplt Corp A,BNK.TO,Financial Services,0.7944
Bank of Nova Scotia,BNS.TO,Financial Services,3.6
Airboss of America J,BOS.TO,Basic Materials,0.4
Boston Pizza Fnd Un,BPF.UN.TO,sector not available!,0
Brompton CrumInvPrCA,BPRF.TO,sector not available!,1.248
Big Rock Brewery Inc,BR.TO,Consumer Defensive,0.8
Bragg Gaming Grp Inc,BRAG.TO,Communication Services,0
Bridgemarq Rl Est RV,BRE.TO,Real Estate,1.35
BromptonGlbRl AsstDv,BREA.TO,sector not available!,0.996
Boat RockrMedia J SV,BRMI.TO,Communication Services,0
Bri-Chem Corp.,BRY.TO,Energy,0
Manulife SmrtCoreBnd,BSKT.TO,sector not available!,0.264
Brookfld Selct Oppor,BSO.UN.TO,sector not available!,0
Belo Sun Mining J,BSX.TO,Basic Materials,0
BTB REIT Un,BTB.UN.TO,sector not available!,0
Purpose BitcnCA CrHg,BTCC-B.TO,Crypto,0
3iQ CoinShr Bitcn CA,BTCQ.TO,sector not available!,0
CI GalBitcnCA ETF UH,BTCX.B.TO,sector not available!,0
CI GalBitcnETF UH US,BTCX.U.TO,sector not available!,0
Baytex Energy Corp.,BTE.TO,Energy,1.2
B2Gold Corp.,BTO.TO,Basic Materials,0.2
Burcon NutraSci J,BU.TO,Consumer Defensive,0
Bloom US Incm&Gro Un,BUA.UN.TO,sector not available!,0
Buhler Industries,BUI.TO,Industrials,0.6
CI 1-5YrLddrGvtBndUn,BXF.TO,sector not available!,0.132
Boyd Group Services,BYD.TO,Consumer Cyclical,0.564
Baylin Tech Inc. J,BYL.TO,Technology,0
CIBC ActvInvCorpBond,CACB.TO,sector not available!,0.636
CAE Inc.,CAE.TO,Industrials,0.44
CIBC ActvInvFltgBond,CAFR.TO,sector not available!,0.372
CI YldEnhc CA Bnd NH,CAGG.TO,sector not available!,1.188
CI YldEnhCA ST BndNH,CAGS.TO,sector not available!,0.924
Evolve USBkEnhanc Hg,CALL.TO,sector not available!,1.38
Cdn Apartment Tr Un,CAR.UN.TO,sector not available!,0
Dialogue Hlth Tech J,CARE.TO,Healthcare,0
Evolve AutoInnov Heg,CARS.TO,sector not available!,0.24
Cascades Inc.,CAS.TO,Basic Materials,0.48
HempFusion Well J US,CBD.U.TO,sector not available!,0
iShre 1-10CorpBnd Un,CBH.TO,sector not available!,0.54
Manulife SmrtCorp Un,CBND.TO,sector not available!,0
iShre 1-5 CorpBnd Un,CBO.TO,sector not available!,0.48
Cogeco Commun Inc SV,CCA.TO,Communication Services,2.56
CIBC Cdn Bond ETF Un,CCBI.TO,sector not available!,0
CIBC Cdn Equity Un,CCEI.TO,sector not available!,0
CCL Industries Cl A,CCL.A.TO,sector not available!,0
CCL Industries Cl B,CCL.B.TO,sector not available!,0
Canagold Res Ltd. J,CCM.TO,Basic Materials,0
CIBC ConservFixdIncm,CCNS.TO,sector not available!,0
Cameco Corporation,CCO.TO,Energy,0.32
CI DbleLnFixUS$HegC$,CCOR.TO,sector not available!,0
CIBC CoreFixdIncm Un,CCRE.TO,sector not available!,0.636
Ceridian HCM Hldg J,CDAY.TO,Technology,0
Manulife SmartDiv Un,CDIV.TO,sector not available!,0.144
CI DbleLnTotUS$BndC$,CDLB.TO,sector not available!,0
iShr CdnDivAristo Un,CDZ.TO,sector not available!,1.02
Centamin plc. Ord,CEE.TO,Basic Materials,0.16
Sprott PhyGld&Sil Tr,CEF.TO,sector not available!,0
Cervus Equipment,CERV.TO,Industrials,0.44
Cathedral Engy Serv,CET.TO,Energy,0.16
CES Energy Solutn,CEU.TO,Energy,0.012
iShares EqWeight Un,CEW.TO,sector not available!,0.48
Canaccord Genuity,CF.TO,Financial Services,0.3
Conifex Timber Inc.,CFF.TO,Basic Materials,0
CIBC FlexYldCA-Hg Un,CFLX.TO,sector not available!,0.612
Canfor Corporation,CFP.TO,Basic Materials,6.592
Calfrac Well Serv,CFW.TO,Energy,3.124
Canfor Pulp Products,CFX.TO,Basic Materials,0.252
Centerra Gold Inc.,CG.TO,Basic Materials,0.28
CI GlbAsstAlloc C$Sr,CGAA.TO,sector not available!,0.204
China Gld Intl Res J,CGG.TO,Basic Materials,0
Canadian General Inv,CGI.TO,Financial Services,0.88
iShare GldBulHdgd Un,CGL.TO,sector not available!,0
CIBC Glbl Growth Un,CGLO.TO,sector not available!,0
Cogeco Inc. SV,CGO.TO,Communication Services,2.18
iShares GlblRlEst Un,CGR.TO,sector not available!,0.748
CI GlbRlAsetPrivPlC$,CGRA.TO,sector not available!,0
CI Glb REIT PrivPlC$,CGRE.TO,sector not available!,0
Cineplex Inc.,CGX.TO,Communication Services,1.8
CI Gold+GiantsCovrUn,CGXF.TO,sector not available!,0.968
Calian Group Ltd.,CGY.TO,Industrials,1.12
iShr US HiYldIncm Un,CHB.TO,sector not available!,0.876
Chemtrade Logistc Un,CHE.UN.TO,sector not available!,0
CI ICBCCS SPChi500NH,CHNA.B.TO,sector not available!,0
Choice Ppty REIT Un,CHP.UN.TO,sector not available!,0
HoriznGlbSemiconduct,CHPS.TO,sector not available!,0
Chorus Aviation V&VV,CHR.TO,Industrials,0.48
Chesswood Group Ltd.,CHW.TO,Financial Services,0.36
Champion Iron Ord J,CIA.TO,Basic Materials,0
1st Tr NasdqCybrsec,CIBR.TO,sector not available!,0
CI CdnBks IncmCl ETF,CIC.TO,sector not available!,0.688
CIBC Int'l Eq Idx Un,CIEI.TO,sector not available!,0
CI EmergMktAlphCA UH,CIEM.TO,sector not available!,0
iShares GlbInfras Un,CIF.TO,sector not available!,1.392
Colliers Intl Grp SV,CIGI.TO,Real Estate,0.2
CI DbleLnUS$IncmC$Hg,CINC.TO,sector not available!,0
CI GlbInfrasPrivPl$C,CINF.TO,sector not available!,0.828
CIBC Int'l Equity Un,CINT.TO,sector not available!,0
CI Glb AlphaInnov CA,CINV.TO,sector not available!,0
Cdn High Incm Eq Un,CIQ.UN.TO,sector not available!,0
CI Financial Corp.,CIX.TO,Financial Services,0.72
Cardinal Energy J,CJ.TO,Energy,0.18
Corus Entertnmnt B,CJR.B.TO,sector not available!,0
Cargojet Inc. Com&VV,CJT.TO,Industrials,1.04
Clarke Inc.,CKI.TO,Consumer Cyclical,8
iShre 1-5 GovtBnd Un,CLF.TO,sector not available!,0.336
iShre 1-10GovtBnd Un,CLG.TO,sector not available!,0.444
Alcanna Inc.,CLIQ.TO,Consumer Cyclical,0.36
CI GlbClimate Ldr C$,CLML.TO,sector not available!,0
PurposeGlb ClimateOp,CLMT.TO,sector not available!,0.12
Int'l CleanPwr DivUn,CLP.UN.TO,sector not available!,0
Celestica Inc SV,CLS.TO,Technology,0
Cdn Imperial Bank,CM.TO,Financial Services,5.84
CI MunroAltGlbGrowC$,CMAG.TO,sector not available!,0
CI Marret RetBondC$,CMAR.TO,sector not available!,0.6
CIBC Multifac Cdn Eq,CMCE.TO,sector not available!,0.404
CI AltDiversOpportC$,CMDO.TO,sector not available!,0
CI MarretAltEnhYldC$,CMEY.TO,sector not available!,0.612
Computer Modelling J,CMG.TO,Technology,0.2
CI Munro GrowthEq C$,CMGG.TO,sector not available!,0
Copper Mountain J,CMMC.TO,Basic Materials,0
iShares MoneyMkt Un,CMR.TO,sector not available!,0.012
CIBC Multfactr US Eq,CMUE.TO,sector not available!,0.184
CI Alt NA OpporC$ Un,CNAO.TO,sector not available!,0
Canacol Energy J,CNE.TO,Energy,0.208
Canadian Natural Res,CNQ.TO,Energy,1.88
Cdn Nat'l Railway,CNR.TO,Industrials,2.46
Century Glbl Cmdty J,CNT.TO,Consumer Defensive,0
CNOOC Limited ADRs,CNU.TO,Energy,10.30156
Condor Gold plc J,COG.TO,Basic Materials,0
BMO Global Commun Un,COMM.TO,sector not available!,0.36
iShares GlblAgri Un,COW.TO,sector not available!,2.16
Cdn Pacific Railway,CP.TO,Industrials,0.76
iShares CdnPref Un,CPD.TO,sector not available!,0.6
Crescent Point Corp.,CPG.TO,Energy,0.012
Cipher Pharma J,CPH.TO,Healthcare,0
Condor Petroleum J,CPI.TO,Energy,0
CIBC Core+Fixed Incm,CPLS.TO,sector not available!,0.672
Capital Power Corp.,CPX.TO,Utilities,2.052
Crew Energy Inc.,CR.TO,Energy,0
Cardiol Therapeutc A,CRDL.TO,Healthcare,0
CI AltInvest CredtC$,CRED.TO,sector not available!,0.6
Cronos Group Inc. J,CRON.TO,Healthcare,0
Ceres Global Ag Corp,CRP.TO,Industrials,0
Crombie Real Est Un,CRR.UN.TO,sector not available!,0
CareRx Corp. J,CRRX.TO,Healthcare,0
CT Rl Est Invest Un,CRT.UN.TO,sector not available!,0
Crown Cap Partners J,CRWN.TO,Financial Services,0.6
Capstone Mining J,CS.TO,Basic Materials,0
CI HiInterestSvgs Un,CSAV.TO,sector not available!,0.3
iShr ShDuratn HighUn,CSD.TO,sector not available!,0.816
